0000.Aud
00-8740e.Aud
00-8735e.Aud
00-8620e.Aud
00-8529e.Aud
00-8525e.Aud
00-4665e.Aud
00-4650e.Aud
00-4645e.Aud
00-4615e.Aud
00-4610e.Aud
00-4595e.Aud
00-4590e.Aud
00-4585e.Aud
00-4580e.Aud
00-4570e.Aud
00-4565e.Aud
00-4555e.Aud
00-4550e.Aud
00-4545e.Aud
00-4515e.Aud
00-4500e.Aud
00-00000.Aud
00-0000.Aud
00-0000e.Aud
00-0000r.Aud
00-I008.Aud	GDI Structure Destroyed
00-N034.Aud	Technology Centre Captured, Objective Complete
00-N040.Aud	Base Destroyed, Objective Complete
00-N042.Aud	It Would Be Advantages To Destroy Bridges
00-N044.Aud	Bridges Destroyed, Objective Complete
00-N052.Aud	UFO Under Attack
00-N054.Aud	UFO Destroyed, Mission Failed
00-N055.Aud	Array Destroyed, Objective Complete
00-N056.Aud	Incoming Transmission
00-N058.Aud	Tratos Evacuated, Primary Objective Complete
00-N059.Aud	Transport Destroyed, Mission Failed
00-N068.Aud	Ion Storm Approaching, Eta 5 Minutes
00-N070.Aud	Ion Storm Abating
00-N072.Aud	Air Power Ineffective During Ion Storms
00-N074.Aud	Dam Destroyed, Mission Complete
00-N075.Aud	Dam Sighted, Target Confirmed
00-N084.Aud	Enemy Sam Sites Detected
00-N086.Aud	All Sam Sites Must Be Destroyed Before Dropships Can Be Deployed
00-N088.Aud	Sam Sites Destroyed, Dropships Inbound
00-N096.Aud	Command Centre Destroyed, Mission Complete
00-N098.Aud	Warning, Inbound Tactical Nuke Detected
00-N112.Aud	Perimeter Deactivated
00-N114.Aud	Reinforcements Inbound
00-N128.Aud	Bridge Repaired
00-N130.Aud	Train Returning To Nod Base
00-N132.Aud	Reinforcements En Route
00-N134.Aud	Capture Nod Tech Center To Recover The Crystals
00-N136.Aud	Train Disabled, Carryall Inbound
00-N138.Aud	Crystals Destroyed, Mission Failed
00-N140.Aud	Ion Storm Forming Over This Sector, Pilot Return To Base
00-N142.Aud	Pilot Return To Base
00-N156.Aud	Force Detected, Enemy Units En Route
00-N158.Aud	Mutants Lost, Mission Failed
00-N160.Aud	Airstrike Ready
00-N162.Aud	Transports Inbound
00-N166.Aud	Supply Base Destroyed, Mission Complete
00-N168.Aud	Mutants En Route To Power Grid
00-N180.Aud	C4 Planted, Mission Complete
00-N182.Aud	Ghost Stalker Terminated, Mission Failed
00-N188.Aud	Missile Complex Destroyed, Mission Complete
00-N190.Aud	Tiberium Missile Inbound
00-N192.Aud	Ion Storm Will Disable Fighters
00-N206.Aud	Mutants Detected, Enemy Forces En Route
00-N208.Aud	Fighter Production Facility Located, Dropships En Route
00-N210.Aud	Fighter Production Facility Destroyed, Mission Complete
00-N236.Aud	Kodiak Under Attack
00-N238.Aud	Storm Abating, Commence Attack On Nod Forces
00-N239.Aud	Kodiak In Critical Condition
00-N240.Aud	Kodiak Destroyed, Mission Failed
00-N241.Aud	Eye Of The Storm Has Been Entered, Equipment At Maximum Efficiency
00-N243.Aud	Tiberium Life Form Detected
00-N245.Aud	Re-Entering Ion Storm, Caution Is Advised
00-N247.Aud	Clear The Zone For MCV Dropship Deployment
00-N248.Aud	Philadelphia In Range, ICBM Launch Detected, Mission Failed
00-N249.Aud	Tiberium Life Form Detected
00-N250.Aud	Tiberium Missile Launched, Mission Failed
00-N251.Aud	ICBMs Destroyed, Philadelphia Is Out Of Danger
00-N252.Aud	Nod Has Installed Several ICBMs To Take Out The Philadelphia
00-N254.Aud	To Stop Them, Take Out The Other 3 Launchers
00-N255.Aud	Civilian City Is Under Attack
00-N400.Aud	Kodiak Located
00-N402.Aud	Tacitus Acquired, Proceed To Beacon For Extraction
00-N404.Aud	Tacitus Lost
00-N406.Aud	Tacitus Found
00-N408.Aud	Nod Has Captured The Tacitus, Recover It At All Costs
00-N410.Aud	Find & Evacuate Any Civilians In The Area
00-N412.Aud	Maintain All Factories Until Reinforcements Arrive
00-N414.Aud	Escort The Civilians To The Orca Transport For Immediate Airlift
00-N416.Aud	Human Leader Neutralized
00-N418.Aud	Mutant Leader Neutralized
00-N420.Aud	Food Centre Under Attack
00-N422.Aud	Food Centre Destroyed
00-N424.Aud	Water Purifiers Under Attack
00-N426.Aud	Water Purifiers Destroyed
00-N428.Aud	The Riots Were Incited By 2 Members Of Each Side
00-N430.Aud	Neutralize The Leaders To End Hostilities
00-N432.Aud	Riot Leader Neutralized
00-N434.Aud	First Riot Leader Neutralized
00-N436.Aud	Second Riot Leader Neutralized
00-N438.Aud	Third Riot Leader Neutralized
00-N440.Aud	Forth Riot Leader Neutralized
00-N442.Aud	All Riot Leaders Have Been Neutralized
00-N444.Aud	Enemy Reinforcements Have Arrived
00-N446.Aud	Destroy The Two Bridges In The Area
00-N448.Aud	Disable CABALs Defences
00-N450.Aud	Use An Engineer To Capture CABALs Core
00-N452.Aud	Outpost Located
00-N454.Aud	Destroy All CABAL Forces
00-N456.Aud	Return To The Outpost & Evacuate Doctor Budro
00-N458.Aud	GDI Base Is Located Due East Of Your Position
00-N460.Aud	Proceed With Caution
00-N462.Aud	Inform The Villages
00-N464.Aud	Village Successfully Warned
00-N466.Aud	All Villages Successfully Warned
00-N468.Aud	We Have Lost Contact With The GDI Base In This Sector
00-N470.Aud	We Have Lost Contact With The GDI Base In This Region
00-N472.Aud	GDI Base In This Sector Under Siege
00-N474.Aud	3 Small Civilian Enclaves In This Area Must Be Warned
00-N478.Aud	Two More Outposts To Warn
00-N479.Aud	One Final Village Must Be Warned
00-N480.Aud	The City Of Trondheim Must Be Warned
00-N482.Aud	Destroy CABALs Base & Forces
00-N484.Aud	Infected Cyborg Introduced Into Factory
00-N486.Aud	Deliver The Infected Cyborg Into The Communications Network
00-N488.Aud	Destroy The Cyborg Production Plant
00-N490.Aud	Deliver The Infected Cyborg Into CABALs Base
00-N492.Aud	There Is Another Communications Array In CABALs Main Base
00-N494.Aud	Deliver A Second Cyborg To The New Array
00-N496.Aud	Multiple Missile Launches Detected
00-N498.Aud	Destroy CABALs Harvesters
00-N500.Aud	Control Station Captured
00-N502.Aud	There Are 3 Control Stations In This Area
00-N504.Aud	Capture These Stations & Retrieve The Codes
00-N506.Aud	Destroy The Bridges
00-N508.Aud	Locating The Civilians Might Help In Disabling The Laser Fencing
00-N510.Aud	Probable Location Within Civilian Outpost To The North
00-W000.V00
00-W002.V00
00-W004.V00
00-W006.V00
00-W008.V00
00-W010.V00
00-W012.V00
00-W014.V00
00-W016.V00
00-W017.V00
00-W018.V00
00-W020.V00
00-W022.V00
00-W024.V00
00-W026.V00
00-W028.V00
00-W029.V00
00-W030.V00
00-W031.V00
00-W032.V00
00-W034.V00
00-W036.V00
00-W038.V00
00-W040.V00
00-W042.V00
00-W044.V00
0abb14bc-G.Pak
01-I342.Aud	Inferior Tactics Detected
01-I350.Aud	Observe Superior Tactics While You Still Have Human Eyes
01-I352.Aud	Your Defeat Is At Hand
01-I356.Aud	You Have Been Marked For Termination
01-I360.Aud	Time To Erase The Human Factor From This Equation
01-I362.Aud	Prepare For Decimation
01-I364.Aud	You Make This Easy, Fleshbag
01-I366.Aud	We Tire Of Your Insignificant Defiance
01-I368.Aud	The Sacrifice Of The Many Is The Pleasure Of The Few
01-I378.Aud	Terminator Protocols Initiated
01-N000.Aud	Harvest The Tiberium To The North
01-N002.Aud	Destroy Hassan's Elite Guard
01-N004.Aud	To Get Production On Line, Build A Tiberium Refinery
01-N005.Aud	Base Perimeter Has Been Breached
01-N006.Aud	Establishing Battle Controls, Stand By
01-N007.Aud	To Build Or Train...
01-N008.Aud	Battle Controls Established
01-N009.Aud	Tiberium Is Hazardous To Unprotected Infantry
01-N010.Aud	Power Levels Are Low, Construct More Power Plants
01-N011.Aud	To Repair A Structure...
01-N020.Aud	Capture The TICBM Station To The East
01-N022.Aud	To Repair A Bridge...
01-N024.Aud	Destroy Hassan's Remaining Guard
01-N026.Aud	To Capture A Building...
01-N027.Aud	To Deploy A Vehicle...
01-N032.Aud	Move To An Open Area And Build Your Base
01-N034.Aud	Destroy Hassan's Pyramid
01-N036.Aud	When Hassan Flees Like A Dog, Capture Him
01-N038.Aud	Capturing The Local Radar Towers
01-N040.Aud	MCV Has Arrived To The South East
01-N054.Aud	It Seems That Certain Structures Attract Lightning
01-N055.Aud	Use Them To Your Advantage
01-N064.Aud	GDI Base Operational
01-N066.Aud	Tacitus Has Been Acquired
01-N068.Aud	Tiberium Life Form Detected
01-N070.Aud	Mutant Vermin Detected
01-N072.Aud	GDI Dropship Detected
01-N074.Aud	Bullet Train Departing
01-N076.Aud	Prevent That Train From Leaving
01-N086.Aud	Protect Your Engineers
01-N088.Aud	Congratulations On Your Success
01-N090.Aud	I Will Send An APC Now To The GDI Base
01-N100.Aud	Your Forces Have Been Detected
01-N102.Aud	Prevent GDIs Evacuation At All Costs
01-N114.Aud	Incoming Transport Detected
01-N116.Aud	Mutant Life Form Detected On Board
01-N128.Aud	Mutants Located
01-N130.Aud	MCV En Route
01-N132.Aud	Research Facility Located
01-N134.Aud	Research Facility Destroyed
01-N136.Aud	Biotoxin Convoy Approaching
01-N144.Aud	Biotoxin Tankers Located
01-N156.Aud	GDI Bullet Train Arriving At Outpost
01-N158.Aud	GDI Bullet Train Arriving At Prison
01-N160.Aud	Transport Has Arrived
01-N162.Aud	Transport Lost
01-N164.Aud	Transport Has Been Detected
01-N174.Aud	The Creature Is The Tiberium Substance We Seek, Use It
01-N176.Aud	Tiberium Missile Ready
01-N178.Aud	Do Not Allow The Construction Yard To Be Destroyed
01-N180.Aud	You Must Build A Tiberium Waste Facility
01-N192.Aud	Convoy Truck Lost
01-N194.Aud	Tiberium Missile Ready
01-N196.Aud	Convoy Inbound
01-N208.Aud	Stealth Is Key
01-N210.Aud	Spy Lost, Mission Failed
01-N212.Aud	CommCenter Infiltrated, Location Detected
01-N227.Aud	If He Detects The Trap, Capture Him Before He Can Flee
01-N228.Aud	Convoy Sighted
01-N229.Aud	Do Not Let McNeal Escape
01-N230.Aud	McNeal Killed, Mission Failed
01-N231.Aud	All Toxin Soldiers Killed, Mission Failed
01-N232.Aud	McNeal Captured, Mission Complete
01-N233.Aud	Production Facility Destroyed
01-N234.Aud	McNeal Escaped, Mission Failed
01-N256.Aud	Orbit 1 Complete
01-N258.Aud	Orbit 2 Complete
01-N260.Aud	Orbit 3 Complete, Mission Failed
01-N262.Aud	Perimeter Deactivated, Commence Attack
01-N264.Aud	ICBM Launcher Lost, Mission Failed
01-N266.Aud	ICBM Launcher Under Attack
01-N268.Aud	Ion Cannon Firing, Resending Control Codes
01-N270.Aud	The Ion Cannon Is Ours
01-N284.Aud	Spy Killed, Mission Failed
01-N286.Aud	Proceed To Evac Location, Transport En Route
01-N320.Aud	Intruders Detected
01-N322.Aud	Probable Objective Is Rescue Of Mutant Prisoners
01-N324.Aud	Kill All Prisoners
01-N326.Aud	All Forces Converge
01-N328.Aud	Main Power Offline
01-N330.Aud	Main Power Restored
01-N400.Aud	CABAL Online
01-N402.Aud	Perhaps You Should Attempt To Kill Their Leader
01-N404.Aud	Ghost Stalker Killed
01-N406.Aud	Juggernaut Destroyed
01-N408.Aud	Find The Temple & Recover The Tacitus
01-N410.Aud	Cyborg Replication Error, Reset System
01-N412.Aud	System Reset, Normal Parameters Restored
01-N414.Aud	GDI Patrol Near
01-N416.Aud	Tiberium Life Form Detected
01-N418.Aud	GDI Has Detected You
01-N420.Aud	Remain Hidden From The GDI Forces
01-N422.Aud	Destroy All Civilian Structures Without Being Detected
01-N424.Aud	Eliminate All GDI & Civilians
01-N426.Aud	Use The Toxin Soldiers To Capture Civilians
01-N428.Aud	Bait The Tiberium Life Forms By Using The Drugged Civilians
01-N430.Aud	Lead The Tiberium Life Forms To The GDI & Civilian Areas
01-N432.Aud	Once The Tiberium Life Form Has Devoured The Civilians
01-N434.Aud	Use This Location As A Staging Point For Your Operation
01-N436.Aud	GDI Cannot Reach You Here
01-N438.Aud	Outpost Located
01-N440.Aud	Tacitus Found
01-N442.Aud	The Tacitus Is Safely In Our Hands
01-N444.Aud	Exterminate The Mutant Vermin
01-N446.Aud	Locate The Mutant Outpost
01-N448.Aud	Find The Truck Containing The Tacitus & Return It To The Beacon
01-N450.Aud	Eliminate All Mutant Forces
01-N452.Aud	Run Humans
01-N462.Aud	Activating Defence Protocol, Firestorm, Now
01-N468.Aud	You Amuse Me
01-N470.Aud	Sam Sites Destroyed, Air Power Incoming
01-N472.Aud	You Have Been Detected, Tratos Is Escaping By Air Transport
01-N474.Aud	You Have Failed, Tratos Has Escaped
01-N476.Aud	The Arrays Have Been Destroyed, Sensors Are Now Down
01-N478.Aud	Capturing 6 Power Plants Will Shut Down The Firestorm Generator
01-N900.Aud	Warning, Regulators Offline
01-N901.Aud	Dam Integrity Failing
01-W000.V01
01-W002.V01
01-W004.V01
01-W006.V01
01-W008.V01
01-W010.V01
01-W012.V01
01-W014.V01
01-W016.V01
01-W018.V01
01-W020.V01
01-W022.V01
01-W024.V01
01-W026.V01
01-W028.V01
01-W030.V01
01-W031.V01
01-W032.V01
01-W034.V01
01-W036.V01
01-W038.V01
01-W040.V01
01-W042.V01
01-W044.V01
01-W046.V01
1e.Vqa
1ice6.Ini
1ice6.Map
1lworld7.Ini
1lworld7.Map
1minr.Aud	1 Minute Left
1objmet1.Aud	1st Objective Met
1pres.Shp
1tnk.Hva
1tnk.Shp	Light Tank
1tnk.Vxl
1tnkbarl.Hva
1tnkbarl.Vxl
1tnkicon.Shp	Light Tank
1tnktur.Hva
1tnktur.Vxl
1tnktur.Vxl	Light Tank Turret
2dangr1.Aud
2minr.Aud	2 Minutes Left
2nd_Hand.Aud	2nd_Hand
2objmet1.Aud	2nd Objective Met
2peaks.Map
2pres.Shp
2roachd2.Aud
2temp7.Ini
2temp7.Map
2tnk.Hva
2tnk.Shp	Medium Tank
2tnk.Vxl
2tnk.Vxl	Medium Tank
2tnkbarl.Hva
2tnkbarl.Vxl
2tnkbarl.Vxl	Medium Tank Barrel
2tnkicon.Shp	Medium Tank
2tnktur.Hva
2tnktur.Vxl
2tnktur.Vxl	Medium Tank Turret
2woodwlk2.Aud
3.Aud
3.Vqa
3minr.Aud	3 Minutes Left
3objmet1.Aud	3rd Objective Met
3point.Fnt
3pres.Shp
3tnk.Hva
3tnk.Shp	Heavy Tank
3tnk.Vxl	Heavy Tank
3tnkbarl.Hva
3tnkbarl.Vxl	Heavy Tank Barrel
3tnkicon.Shp	Heavy Tank
3tnktur.Hva
3tnktur.Vxl	Heavy Tank Turret
3tweak10.Ini
3tweak10.Map
04pebble1.Aud
4.Aud
4e.Aud
4e.Vqa
4minr.Aud	4 Minutes Left
4pres.Shp
4tnk.Hva
4tnk.Shp	Mammoth Tank
4tnk.Vxl	Mammoth Tank
4tnkbarl.Hva
4tnkbarl.Vxl	Mammoth Tank Barrel
4tnkicon.Shp	Mammoth Tank
4tnktur.Hva
4tnktur.Vxl	Mammoth Tank Turret
5minr.Aud	5 Minutes Left
6.Fnt
6e.Vqa
6point.Fnt
6pres.Shp
07-0020e.Aud
07_0020e.Aud
07e.Aud
7amb1.Aud
7amb2.Aud
7amb3.Aud
7amb4.Aud
7amb5.Aud
7amb6.Aud
7amb7.Aud
7amb8.Aud
7amb9.Aud
7amb10.Aud
7amb11.Aud
7amb12.Aud
7amb13.Aud
7amb14.Aud
7behind1.Aud
7behind2.Aud
7behind3.Aud
7coming1.Aud
7coming2.Aud
7e.Aud
7glass1.Aud
7glass2.Aud
7glass3.Aud
7glass4.Aud
7joinus1.Aud
7joinus2.Aud
7laff1.Aud
7laff2.Aud
7laff3.Aud
7laff4.Aud
7look1.Aud
7look2.Aud
7luth1.Aud
7luth2.Aud
7luth3.Aud
7luth4.Aud
7luth5.Aud
7nogo1.Aud
7nogo2.Aud
7nogo3.Aud
7nogo4.Aud
7over1.Aud
7over2.Aud
7over3.Aud
7over4.Aud
7please1.Aud
7please2.Aud
7please3.Aud
7urours1.Aud
7urours2.Aud
7yell1.Aud
7yell2.Aud
7yell3.Aud
7yell4.Aud
8.Fnt
8fat.Fnt
8point.Fnt
09-I000.Aud	Yes
09-I002.Aud	Okay
09-I004.Aud	Oh
09-I006.Aud	Ah
10-I000.Aud	Give Me An Order
10-I002.Aud	What Do You Want
10-I004.Aud	You Talking To Me
10-I006.Aud	What
10-I016.Aud	Stay Low
10-I020.Aud	Okay
10-I022.Aud	Already There
10-I024.Aud	Right Between The Eyes
10-I026.Aud	I Only Need 1 Shot
10-I028.Aud	This Is Too Easy
10-I030.Aud	Good As Done
10-N032.Aud	The Medical Facility Is Located To The East
10-N034.Aud	The Medical Facility Is Located To The West
10-N036.Aud	We Must Get Tratos Out Of That Facility
10-N038.Aud	So Much For Subtlety
10-N040.Aud	Tratos, No
10-N042.Aud	We Must Get Tratos To The Transport
10-N044.Aud	Our Work Here Is Done, Were Out Of Here
10-N046.Aud	They'Ve Seen Us, Fall Back
10minr.Aud	10 Minutes Left
10pt.Fon
11-I000.Aud	Yes
11-I002.Aud	Direct Me
11-I004.Aud	Awaiting Orders
11-I006.Aud	I'm Ready
11-I008.Aud	Of Course
11-I010.Aud	Immediately
11-I012.Aud	Yes
11-I014.Aud	For Kane
11-I016.Aud	They Will Pay For This
11-I018.Aud	For The Brotherhood
12-I000.Aud	Yes CABAL
12-I002.Aud	Where To
12-I004.Aud	Yes
12-I006.Aud	Yes
12-I008.Aud	For Kane
12-I010.Aud	I Will
12-I012.Aud	We Must Find Oxanna
12-I014.Aud	Leave No Enemy Standing
12-I016.Aud	Kill Them
12green.Fnt
12grngrd.Fnt
12metfnt.Fnt
13-I000.Aud	Huh
13-I002.Aud	What
13-I004.Aud	Ah
13-I006.Aud	Lead Me
13-I008.Aud	Arrows From The Sky
13-I010.Aud	Green Becomes Brown
13-I012.Aud	Tah
13-I014.Aud	Yes
13-I016.Aud	Be Careful
13-I018.Aud	Nod Is Everywhere
13-I020.Aud	Where Is The Tacitus
13cutdwn.Vqa
14-I000.Aud	Yes
14-I002.Aud	Over Here
14-I004.Aud	Give Me A Target
14-I008.Aud	It Will Be Done
14-I010.Aud	Very Well
14-I012.Aud	Any Time
14-I014.Aud	You Got It
14-I016.Aud	There Could Be Trouble
14kbeep1.Aud
15-1700e.Aud
15-0530e.Aud
15-0360e.Aud
15-0320e.Aud
15-0290e.Aud
15-0280e.Aud
15-0270e.Aud
15-0260e.Aud
15-0180e.Aud
15-0170e.Aud
15-0160e.Aud
15-0150e.Aud
15-0140e.Aud
15-0130e.Aud
15-0120e.Aud
15-0110e.Aud
15-0070e.Aud
15-0060e.Aud
15-0050e.Aud
15-0040e.Aud
15-0030e.Aud
15-0020e.Aud
15-0010e.Aud
15-0000e.Aud
15-I000.Aud	Infantry Reporting
15-I002.Aud	Unit Ready
15-I004.Aud	Awaiting Order
15-I006.Aud	Sir
15-I008.Aud	Sir Yes Sir
15-I010.Aud	Ready
15-I012.Aud	Yes Sir
15-I014.Aud	Yes Sir
15-I016.Aud	Orders Received
15-I018.Aud	Moving Out
15-I020.Aud	Advancing
15-I022.Aud	On My Way
15-I024.Aud	You Got It
15-I026.Aud	No Problem
15-I032.Aud	Ready For Action
15-I038.Aud	Standing By
15-I040.Aud	Yeah
15-I042.Aud	Orders
15-I044.Aud	Loud & Clear
15-I046.Aud	I'M On It
15-I048.Aud	Sir
15-I050.Aud	Good As Done
15-I058.Aud	I'm Taking Heavy Fire
15-I060.Aud	Move Move Move
15-I064.Aud	Medic
16.Fnt
18jbird1.Aud
19-I000.Aud	Engineer
19-I002.Aud	Yes Sir
19-I006.Aud	Awaiting Orders
19-I010.Aud	Affirmative
19-I016.Aud	No Problem
19-I018.Aud	I Can Fix That
19-N100.Aud	Looks Like The Kodiak Is A Loss
19-N102.Aud	Ive Got The EVA Unit, Lets Get Out Of Here
20-I000.Aud	Medic Reporting
20-I004.Aud	Yes Sir
20-I006.Aud	Awaiting Orders
20-I008.Aud	Affirmative
20-I010.Aud	Acknowledged
20-I012.Aud	Moving Out
20-I016.Aud	Stat
20-I018.Aud	Clear
20-I020.Aud	Give Me Some Room
20minr.Aud	20 Minutes Left
21-I000.Aud	Hehehe
21-I002.Aud	Over Here
21-I004.Aud	Shh
21-I010.Aud	Yes
21-I012.Aud	Excellent
21-I016.Aud	Moving
21-I022.Aud	Its Yours
22-I000.Aud	Input Directive
22-I002.Aud	Comlink Open
22-I006.Aud	Unit Ready
22-I008.Aud	Affirmative
22-I010.Aud	By Your Command
22-I012.Aud	Target Acquired
22-I014.Aud	Scan Initiated
22-I016.Aud	Proceeding
22-I018.Aud	Unit Engaged
22-I020.Aud	Processing
22-N100.Aud	Terminate All Biological Lifeforms
22-N102.Aud	The Will Of CABAL Must Be Enforced
22-N104.Aud	Error
22-N106.Aud	System Failure
22-N108.Aud	Malfunction
22-N110.Aud	Hit Him
22-N112.Aud	Intruder Alert
22-N114.Aud	You Are Not One Of Us
22-N116.Aud	Fire In The Hole
22-N118.Aud	Proceeding To Target
22-N120.Aud	Sequence Engaged
23-0330e.Aud
23-0250e.Aud
23-0040e.Aud
23-0010e.Aud
23-I000.Aud	Your Command
23-I002.Aud	Standing By
23-I004.Aud	Directive
23-I006.Aud	Status
23-I008.Aud	I Obey
23-I010.Aud	Affirmative
23-I012.Aud	Executing
23-I014.Aud	Terminated
23-I016.Aud	Stand Clear
23-I018.Aud	They Will Know Fear
23-I020.Aud	For The Brotherhood
23-I022.Aud	I Can Smell Their Fear
24-0510e.Aud
24-0380e.Aud
24-I000.Aud	Need A Ride
24-I002.Aud	Sir
24-I004.Aud	Yeah
24-I006.Aud	What
24-I008.Aud	Hot Wired
24-I010.Aud	Hit It
24-I012.Aud	Four On The Floor
24-I014.Aud	Cool
24-I016.Aud	Where Do You Want It
24-I018.Aud	Going My Way
24-I020.Aud	No Keys, No Problem
24-I022.Aud	Jacking Them Up
24-I024.Aud	I Always Wanted One Of These
24e.Aud
25-I000.Aud	Unit Reporting
25-I002.Aud	Unit Ready
25-I004.Aud	Awaiting Orders
25-I006.Aud	Sir
25-I012.Aud	Yes Sir
25-I014.Aud	Yes Sir
25-I016.Aud	Orders Received
25-I018.Aud	Moving Out
25-I022.Aud	On My Way
25-I024.Aud	You Got It
25-I026.Aud	No Problem
27-I002.Aud	Unit Deploy Response
30-I000.Aud	Pilot Reporting
30-I002.Aud	Ready
30-I004.Aud	Awaiting Orders
30-I006.Aud	Sir
30-I014.Aud	Yes Sir
30-I016.Aud	Orders Received
30-I018.Aud	Over And Out
30-I022.Aud	On My Way
30-I030.Aud	Death From Above
30-I034.Aud	Form Up
30-I036.Aud	Away We Go
30minr.Aud	30 Minutes Left
32-I000.Aud	Affirmative
32-I002.Aud	Target Sighted
32-I004.Aud	Orders Received
32-I006.Aud	Engaging
32-I008.Aud	Woops
33-N000.Aud	Where The Hell Are Those Reinforcements
33-N002.Aud	Its Nod Sir, They Came Out Of Nowhere
33-N004.Aud	Looks Like They Tore This Place Apart Already
33-N008.Aud	Here They Come
33-N010.Aud	Is There Any Tech Left At The Nod Base
33-N012.Aud	These Critters Don'T Look Too Friendly
33-N014.Aud	The Cavalry Has Arrived
